store_id,store_name,city,city_norm,proposed_canonical,match_layer,confidence
800,המסגר,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
801,מחניים,חיפה,חיפה,חיפה,L1,1.0
802,כפר סבא הירוקה,כפר סבא,כפר סבא,כפר סבא,L1,1.0
803,קרית מוצקין,קרית מוצקין,קריית מוצקין,קריית מוצקין,L1,1.0
804,עדן גן העיר,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
805,ליקוט נתניה,נתניה,נתניה,נתניה,L1,1.0
806,ליקוט טיב טעם אשדוד,אשדוד,אשדוד,אשדוד,L1,1.0
807,ליקוט טיב טעם קריות,חיפה,חיפה,חיפה,L1,1.0
808,ליקוט ראשון מזרח,ראשון לציון,ראשון לציון,ראשון לציון,L1,1.0
809,ליקוט טיב באר שבע,באר שבע,באר שבע,באר שבע,L1,1.0
810,ליקוט רמת החייל,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
811,ליקוט קיסריה,קיסריה,קיסריה,קיסריה,L1,1.0
812,הכל,,,,NULL,0.0
813,1 אום אלפחם,אום אל פחם,אום אל פחם,אום אל-פחם,L3,0.9
814,2 דבוריה,דבוריה,דבוריה,דבורייה,L3,0.923
815,3 פרידיס,פוריידיס,פוריידיס,פוריידיס,L1,1.0
816,5 קלנסווה,קלנסווה,קלנסווה,קלנסווה,L1,1.0
817,6 שפרעם,שפרעם,שפרעם,שפרעם,L1,1.0
818,7 סכנין,סכנין,סכנין,,NULL,0.0
819,8 באר שבע,באר שבע,באר שבע,באר שבע,L1,1.0
820,9 טמרה,טמרה,טמרה,טמרה,L1,1.0
821,10 דליית אל כרמל,דליית אל כרמל,דליית אל כרמל,,NULL,0.0
822,12 נצרת,נצרת עילית -  נוף הגליל,נוף הגליל,נוף הגליל,L1,1.0
823,13 קאסם,כפר קאסם,כפר קאסם,כפר קאסם,L1,1.0
824,14 כבאביר חיפה,חיפה,חיפה,חיפה,L1,1.0
825,15 כרמיאל,כרמיאל,כרמיאל,כרמיאל,L1,1.0
826,16 עכו,עכו,עכו,עכו,L1,1.0
827,17 יפיע,יפיע,יפיע,יפיע,L1,1.0
828,18 יפת - יפו תל אביב,תל אביב - יפו,תל אביב-יפו,תל אביב -יפו,L3,0.96
829,19 רמלה,רמלה,רמלה,רמלה,L1,1.0
830,26 רהט סבן,רהט,רהט,רהט,L1,1.0
831,27 בסמת טבעון,בסמת טבעון,בסמת טבעון,בסמת טבעון,L1,1.0
832,28 מיני קינגסטור רהט,רהט,רהט,רהט,L1,1.0
833,29 טייבה,טייבה,טייבה,טייבה,L1,1.0
834,30 כפר כנא,כפר כנא,כפר כנא,כפר כנא,L1,1.0
835,31 צים סנטר נוף הגליל,נצרת עילית -  נוף הגליל,נוף הגליל,נוף הגליל,L1,1.0
836,50 אינטרנט,,,,NULL,0.0
837,200 ירושליים,ירושלים,ירושלים,ירושלים,L1,1.0
838,334 דיר חנא זכיינות,דיר חנא,דיר חנא,דייר חנא,L3,0.933
839,335 דוכאן כפר ברא,כפר ברא,כפר ברא,כפר ברא,L1,1.0
840,336 דוכאן קלנסווה,קלנסווה,קלנסווה,קלנסווה,L1,1.0
841,337 דוכאן אעבלין,אעבלין,אעבלין,אעבלין,L1,1.0
842,338 דוכאן חי אלוורוד,נצרת,נצרת,נצרת,L1,1.0
